"tree_ID","species","branch_infection_level","branch_infection_status","SA_cm.2","LA_eucalyptus_m.2","LA_mistletoe_m.2","LA_total_m.2","SA.LA_cm.2_m..2"
"E_moluccana_infected_1","E. moluccana","control","uninfected",145.66,21.62,0,21.62,6.74
"E_moluccana_infected_1","E. moluccana","high","infected",109.94,4.32,11.2,15.52,7.08
"E_moluccana_infected_1","E. moluccana","low","infected",98.57,8.68,12.69,21.37,4.61
"E_moluccana_infected_2","E. moluccana","control","uninfected",90.18,35.58,2.02,37.59,2.4
"E_moluccana_infected_2","E. moluccana","high","infected",82.53,13.68,7.98,21.66,3.81
"E_moluccana_infected_2","E. moluccana","low","infected",58.71,13.83,5.4,19.22,3.05
"E_fibrosa_infected_1","E. fibrosa","control","uninfected",81.43,9.74,0,9.74,8.36
"E_fibrosa_infected_1","E. fibrosa","high","infected",98.01,3.76,6.42,10.18,9.63
"E_fibrosa_infected_1","E. fibrosa","low","infected",13.29,1.11,1.67,2.77,4.79
"E_fibrosa_infected_3","E. fibrosa","control","uninfected",14.68,11.69,0,11.69,1.26
"E_fibrosa_infected_3","E. fibrosa","high","infected",17.91,2.59,4.63,7.23,2.48
"E_fibrosa_infected_3","E. fibrosa","low","infected",49.42,1.64,1.66,3.3,14.98
"E_fibrosa_infected_4","E. fibrosa","control","uninfected",21.43,6.92,0,6.92,3.1
"E_fibrosa_infected_4","E. fibrosa","high","infected",23.99,0.74,0.77,1.51,15.9
"E_fibrosa_infected_4","E. fibrosa","low","infected",33.37,4.8,3.75,8.55,3.9
"E_fibrosa_infected_2","E. fibrosa","control","uninfected",27.05,11.02,0,11.02,2.45
"E_fibrosa_infected_2","E. fibrosa","high","infected",30.39,0.49,5.1,5.58,5.45
"E_fibrosa_infected_2","E. fibrosa","low","infected",27.66,7.87,2.09,9.96,2.78
"E_moluccana_infected_3","E. moluccana","control","uninfected",24.64,5.86,1.78,7.64,3.22
"E_moluccana_infected_3","E. moluccana","high","infected",34.42,6.18,5.23,11.42,3.01
"E_moluccana_infected_3","E. moluccana","low","infected",73,18.39,9.13,27.51,2.65
"E_moluccana_infected_4","E. moluccana","control","uninfected",35.59,7.97,0,7.97,4.47
"E_moluccana_infected_4","E. moluccana","high","infected",18.87,1.82,1.6,3.43,5.5
"E_moluccana_infected_4","E. moluccana","low","infected",43.84,6.78,5.04,11.83,3.71
