"tree_species","leaf_sampled","time","tree_infection_status","season","Psi_leaf_MPa"
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.65
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.27
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.89
"E. fibrosa","eucalypt","midday","uninfected","uninfected_pre_drought",-3.85
"E. fibrosa","eucalypt","midday","uninfected","uninfected_pre_drought",-3.62
"E. fibrosa","eucalypt","midday","uninfected","uninfected_pre_drought",-4.25
"E. moluccana","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.57
"E. moluccana","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.58
"E. moluccana","eucalypt","predawn","uninfected","uninfected_pre_drought",-1.38
"E. moluccana","eucalypt","midday","uninfected","uninfected_pre_drought",-3.52
"E. moluccana","eucalypt","midday","uninfected","uninfected_pre_drought",-3.15
"E. moluccana","eucalypt","midday","uninfected","uninfected_pre_drought",-3.25
"E. fibrosa","eucalypt","midday","uninfected","uninfected_drought",-3.7
"E. moluccana","mistletoe","midday","infected","mistletoe_drought",-5.2
"E. moluccana","eucalypt","midday","uninfected","uninfected_drought",-3.3
"E. moluccana","eucalypt","midday","infected","infected_drought",-4.2
"E. fibrosa","eucalypt","midday","infected","infected_drought",-4.3
"E. fibrosa","eucalypt","midday","infected","infected_drought",-4.1
"E. fibrosa","eucalypt","midday","infected","infected_drought",-4.2
"E. moluccana","eucalypt","midday","uninfected","uninfected_drought",-3.9
"E. fibrosa","mistletoe","midday","infected","mistletoe_drought",-4.6
"E. moluccana","eucalypt","midday","infected","infected_drought",-4.2
"E. fibrosa","eucalypt","midday","uninfected","uninfected_drought",-3.7
"E. moluccana","eucalypt","midday","infected","infected_drought",-4.3
"E. moluccana","eucalypt","midday","uninfected","uninfected_drought",-3.8
"E. fibrosa","mistletoe","midday","infected","mistletoe_drought",-5.2
"E. moluccana","mistletoe","midday","infected","mistletoe_drought",-4.9
"E. fibrosa","mistletoe","midday","infected","mistletoe_drought",-4.7
"E. moluccana","eucalypt","midday","infected","infected_drought",-5.2
"E. moluccana","mistletoe","midday","infected","mistletoe_drought",-4.8
"E. fibrosa","eucalypt","midday","uninfected","uninfected_drought",-4.5
"E. fibrosa","eucalypt","midday","uninfected","uninfected_drought",-3.6
"E. moluccana","mistletoe","midday","infected","mistletoe_drought",-4.2
"E. moluccana","eucalypt","midday","uninfected","uninfected_drought",-3.9
"E. fibrosa","mistletoe","predawn","infected","mistletoe_drought",-2.4
"E. fibrosa","eucalypt","predawn","infected","infected_drought",-1.9
"E. moluccana","eucalypt","predawn","infected","infected_drought",-2.05
"E. moluccana","mistletoe","predawn","infected","mistletoe_drought",-2.6
"E. fibrosa","eucalypt","predawn","infected","infected_drought",-1.9
"E. fibrosa","mistletoe","predawn","infected","mistletoe_drought",-2.6
"E. fibrosa","eucalypt","predawn","infected","infected_drought",-1.9
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_drought",-1.7
"E. fibrosa","mistletoe","predawn","infected","mistletoe_drought",-2.3
"E. moluccana","eucalypt","predawn","uninfected","uninfected_drought",-2.1
"E. fibrosa","eucalypt","predawn","infected","infected_drought",-2
"E. moluccana","eucalypt","predawn","uninfected","uninfected_drought",-1.9
"E. fibrosa","mistletoe","predawn","infected","mistletoe_drought",-2.2
"E. moluccana","eucalypt","predawn","uninfected","uninfected_drought",-2.4
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_drought",-2.4
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_drought",-1.8
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_drought",-2.1
"E. fibrosa","eucalypt","predawn","uninfected","uninfected_drought",-1.9
"E. moluccana","eucalypt","predawn","uninfected","uninfected_drought",-1.8
"E. moluccana","mistletoe","predawn","infected","mistletoe_drought",-2.2
"E. moluccana","eucalypt","predawn","infected","infected_drought",-1.3
"E. moluccana","mistletoe","predawn","infected","mistletoe_drought",-2.6
"E. moluccana","eucalypt","predawn","infected","infected_drought",-2.2
"E. moluccana","eucalypt","predawn","infected","infected_drought",-1.8
"E. moluccana","mistletoe","predawn","infected","mistletoe_drought",-2.6
